n00004475	有机体，生物
n02872333	助推器，运载火箭
n02872529	中继站
n02872752	皮靴，长靴，靴，靴子
n02873520	丹佛锁扣
n02873623	新兵训练营
n02873733	童用毛线鞋
n02873839	亭，小卧室，小室，小隔间
n02874086	摊子，货摊
n02874214	booth
n02874336	靴用袜
n02874442	V字形脱靴器，脱靴器
n02874537	靴带
n02874642	长统靴上部，靴帮
n02874750	拔靴带，提靴带，靴襻
n02875436	石头钻孔器
n02875626	硼电离室
n02875948	borstal
n02876084	衣服的胸襟
n02876326	波士顿摇椅
n02876457	酒囊
n02876657	瓶，瓶子
n02877266	哺乳瓶，奶瓶
n02877513	玻璃瓶回收站
n02877642	洗瓶刷
n02877765	瓶盖
n02877962	开瓶器
n02878107	装瓶车间
n02878222	商船，货船
n02878425	boucle
n02878534	闺房
n02878628	镶嵌装饰
n02878796	bouncing betty
n02879087	花束
n02879309	小商店，时装店
n02879422	纽孔花束
n02879517	小提琴的拉弓，弦乐器的弓
n02879718	弓
n02880189	蝴蝶结
n02880393	弓箭
n02880546	弓弦乐器
n02880842	鲍威刀
n02880940	碗
n02881193	碗
n02881546	木球
n02881757	圆顶硬礼帽，礼帽
n02881906	单套结，帆脚索
n02882190	保龄球室
n02882301	保龄球
n02882483	保龄球设备
n02882647	保龄球瓶
n02882894	保龄球鞋
n02883004	船首斜桅
n02883101	弓弦
n02883205	蝴蝶结领带，蝶形领结
n02883344	盒子，箱，箱子
n02884225	分隔式雅座，包厢
n02884450	驾驶员席位
n02884859	箱形梁
n02884994	盒式照相机
n02885108	有盖货车，篷车
n02885233	厚大衣，披风
n02885338	拳击设备
n02885462	手套，拳击手套
n02885882	售票处，票房
n02886321	弹簧褥子
n02886434	套筒扳手
n02886599	支撑，支柱
n02887079	牙套，牙箍，牙齿矫正器
n02887209	拉条，支撑
n02887489	吊裤带
n02887832	手摇曲柄钻
n02887970	手镯，镯子
n02888270	保护套，保护带，护手，护腕
n02888429	曲柄头扳手
n02888569	托座，托架，支架，隅撑
n02888898	小锥，打眼钉，锥钻
n02889425	制动器，刹车，闸
n02889646	brake
n02889856	制动器带，闸带
n02889996	制动圆筒
n02890188	制动盘，刹车盘，闸盘
n02890351	制动器，闸
n02890513	制动衬面
n02890662	制动块，刹车垫
n02890804	刹车踏板
n02890940	制动靴
n02891188	制动器
n02891788	黄铜管乐
n02892201	brass, memorial tablet, plaque
n02892304	黄铜制品，黄铜器，黄铜饰品
n02892392	臂章，臂铠
n02892499	啤酒店
n02892626	brassie
n02892767	乳搭，乳罩，奶罩，文胸，胸罩
n02892948	指节铜套，指节铜环，铁莲花
n02893269	间壁，风墙，风帘，风障
n02893418	火盆
n02893608	面包篮
n02893692	面包盒，面包箱
n02893941	面包刀
n02894024	脆的东西，质脆物品
n02894158	吃早餐的地方
n02894337	早餐桌
n02894605	防波堤
n02894847	胸压式手摇钻
n02895008	乳房植入，隆胸术
n02895154	胸铠，腹甲
n02895328	胸带
n02895438	呼吸测醉器，酒精测定器
n02896074	枪闩，炮闩
n02896294	土人的腰布，缠腰布，缠腰带
n02896442	灯笼裤，马裤
n02896694	裤形救生圈
n02896856	后膛枪，后膛炮
n02896949	breeder reactor
n02897097	布朗式轻机枪
n02897389	brewpub
n02897820	砖，砖块，砖头
n02898093	烧砖炉，砖窑
n02898173	瓦工锤
n02898269	砌砖镘刀
n02898369	砖砌部分
n02898585	婚纱，结婚礼服
n02898711	桥，桥梁
n02899439	鼻梁架
n02900160	辔，辔头，马笼头
n02900459	马道
n02900594	轻勒
n02900705	公事包，公文包，皮包
n02900857	公文包炸弹
n02900987	手提电脑
n02901114	三角裤，内裤，短内裤，骑行短裤
n02901259	禁闭室
n02901377	双桅横帆船，双桅船
n02901481	锁子甲，锁子盔的一种，锁子铠的一种
n02901620	双桅帆船
n02901793	润发油，生发油
n02901901	反弹道导弹
n02902079	brim
n02902687	鬃毛画笔
n02902816	裤子，马裤
n02902916	宽头箭
n02903006	大斧，钺
n02903126	brochette
n02903204	散布机
n02903727	细平布
n02903852	绒面呢，阔幅厚黑呢
n02904109	阔斧
n02904233	阔幅织物
n02904505	broadside
n02904640	阔刀
n02904803	织锦，锦缎
n02904927	笨重的鞋子
n02905036	烘烤用具
n02905152	破拱，缺口拱
n02905886	支气管镜，气管镜
n02906734	帚，扫帚，扫把
n02906963	杂物室
n02907082	扫帚柄
n02907296	马车
n02907391	Browning automatic rifle, BAR
n02907656	五零机枪，勃朗宁机枪
n02907873	褐砂石房屋
n02908123	brunch coat
n02908217	刷，刷子
n02908773	布鲁塞尔地毯
n02908951	布鲁塞尔花边
n02909053	透明玻璃圆顶
n02909165	泡沫室
n02909285	喷墨打印机
n02909706	四轮马车
n02909870	吊桶，桶，水桶
n02910145	bucket seat
n02910241	bucket shop
n02910353	扣环，搭扣，搭钩
n02910542	硬布，硬粗布，硬麻布
n02910701	bucksaw
n02910864	鹿皮绔，鹿皮马裤
n02910964	软料
n02911332	磨光器
n02911485	缓冲器，缓冲存储器
n02912065	餐具柜
n02912319	抛光轮
n02912557	敞篷客车，轻便马车
n02912894	号角，喇叭
n02913152	大厦，大建筑物，建筑，建筑物，房屋，更常指大而气派的建筑
n02914991	综合大楼
n02915904	大铁夹子
n02916065	管子扳手
n02916179	推土机
n02916350	子弹，枪弹
n02916936	钢丝背心，防弹衣
n02917067	子弹火车，新干线，高速客运火车
n02917377	手提式扩音器，扩音器
n02917521	金银条
n02917607	外圆角
n02917742	临时拘留所
n02917964	候补队员区，球员区
n02918112	斗牛场
n02918330	壁垒，挡浪板，舷墙
n02918455	小卖艇，贩船
n02918595	保险杆
n02918831	干杯中的满杯
n02918964	碰碰车
n02919148	缓冲保护器
n02919308	汽车千斤顶
n02919414	包袱，包裹
n02919648	木塞，气孔塞
n02919792	小屋，村舍
n02919890	蹦极绳索，蹦级绳，高空弹跳绳
n02919976	桶口，桶孔
n02920083	铺位
n02920164	饲槽
n02920259	双层床
n02920369	沙障
n02920503	防空壕
n02920658	bunker
n02921029	本生灯
n02921195	旗布
n02921292	bur, burr
n02921406	防水棉布，雨衣
n02921592	滴管，量管
n02921756	自动报警器，防盗自动警铃，防盗警报器
n02921884	坟墓，埋葬所
n02922159	寿衣
n02922292	古墓，坟墓
n02922461	石刻刀，雕刻刀
n02922578	布嘎，布尔卡，波卡，罩袍
n02922798	打包麻布，粗麻布
n02922877	机密文件袋
n02923129	火炉，炉子
n02923535	burnous, burnoose, burnouse
n02923682	自动冲锋枪
n02923915	burr
n02924116	公共汽车，公车，大型客车，大型游览巴士，大客车，巴士，长途公共汽车，长途汽车
n02925009	bushel basket
n02925107	套管
n02925385	棉布长夹克
n02925519	西装
n02925666	战靴，长统靴，防雷靴
n02926426	bustier
n02926591	裙撑
n02927053	屠刀
n02927161	肉类市场
n02927764	黄油盘，黄油碟
n02927887	减压阀，节流阀
n02928049	黄油刀
n02928299	门的铰链
n02928413	对接，端接
n02928608	扣子，钮
n02929184	绊钩，钮扣钩
n02929289	以扶壁支撑，扶壁，拱壁，撑墙，支持，支持物
n02929462	靶箭
n02929582	对接焊
n02929923	自动操纵导弹
n02930080	蜂音器，蜂鸣器
n02930214	BVD, BVD's
n02930339	旁路电容器
n02930645	侧道，间道
n02930766	出租汽车，出租车，的士，计程车
n02931013	cab, cabriolet
n02931148	驾驶室
n02931294	简易浴室
n02931417	夜店，夜总会
n02931836	投棒，棒，比力棒
n02932019	客舱，机舱
n02932400	小木屋
n02932523	乘务车厢
n02932693	二等舱
n02932891	观光游艇
n02933112	壁橱，橱柜
n02933340	机座
n02933462	贮藏箱，锁柜
n02933649	细木家具
n02933750	定期货仓
n02933990	有线电视，有线电视网
n02934168	电报
n02934451	电缆车，空中缆车，索道车辆，缆车
n02935017	cache, memory cache
n02935387	茶叶盒
n02935490	铯钟
n02935658	咖啡厅，咖啡屋，咖啡店，咖啡馆，小餐馆
n02935891	自助餐厅，食堂，餐厅
n02936176	cafeteria tray
n02936281	小餐馆
n02936402	土耳其式长袍
n02936570	土耳其式长袍
n02936714	笼，笼子
n02936921	球门
n02937010	有帽薄防风衣
n02937336	弹药车
n02937958	calash, caleche, calash top
n02938218	calceus
n02938321	刷墙水粉，可赛银粉
n02938886	计算器，计算机
n02939185	大汽锅，大锅，釜
n02939763	印花布
n02939866	弯脚器，测径器，测径规
n02940289	公告板
n02940385	呼叫中心
n02940570	来电显示
n02940706	汽笛风琴
n02941095	热量计，量热计
n02941228	黑毡帽
n02941845	护面具，盔甲披肩
n02942015	弯拱
n02942147	细纺，细薄布，细麻布
n02942349	摄像放像机，摄像机
n02942460	驼毛布料
n02942699	照相机，相机
n02943241	摄像机镜头，摄影机镜头，摄象机镜头
n02943465	转绘仪
n02943686	暗箱
n02943871	照相机三脚架
n02943964	妇女宽衬衣
n02944075	一种短便服，女背心
n02944146	女背心，紧身底衣
n02944256	驼毛呢
n02944459	伪装
n02944579	迷彩服
n02944826	宿营地，营地，露营
n02945161	乡间宿营区
n02945813	难民营
n02945964	宽檐帽
n02946127	钟塔，钟楼
n02946270	轻便折椅
n02946348	野营挂车
n02946509	拖挂房车
n02946753	折凳，折椅，轻便折凳，轻便折叠凳
n02946824	凸轮轴
n02946921	听头，罐头，马口铁器
n02947212	沟渠，运河
n02947660	canal boat, narrow boat, narrowboat
n02947818	枝形大烛台，枝状大烛台
n02947977	candid camera
n02948072	烛，蜡，蜡烛
n02948293	candlepin
n02948403	熄烛器
n02948557	烛台，蜡烛架
n02948834	灯芯绒，烛心
n02948942	煮糖果温度计
n02949084	笞杖，藤条
n02949202	手杖，拐杖，竹杖，藤杖
n02949356	枷
n02949542	罐
n02950018	罐头工厂，罐头食品厂
n02950120	小罐
n02950186	小木桶
n02950256	加农炮
n02950482	cannon
n02950632	cannon
n02950826	加农炮，坦克大炮，大炮，火炮
n02950943	炮弹
n02951358	独木舟
n02951585	开罐器，开罐头刀
n02951703	克珀斯陶瓶
n02951843	华盖
n02952109	伞盖，伞衣
n02952237	座舱盖，驾驶舱盖
n02952374	水壶
n02952485	小卖部
n02952585	娱乐厅，食堂，餐厅
n02952674	临时流动餐馆
n02952798	小卖部
n02952935	活动铁钩，转杆器
n02953056	悬臂
n02953197	悬臂桥
n02953455	鞍后桥
n02953552	广绫，重双绉
n02953673	帆布
n02953850	兜揽，拳击场，摔跤场，游说
n02954163	帆布帐篷
n02954340	便帽，太阳帽，帽子，棒球帽，鸭舌帽
n02954938	瓶帽，盖子
n02955065	封闭盖
n02955247	电容器
n02955540	华丽的鞍辔，马披，马饰
n02955767	披肩，斗篷
n02956393	主力舰
n02956699	capitol
n02956795	启盖器
n02956883	带帽长斗篷
n02957008	带帽长斗篷
n02957135	有头螺栓，螺丝帽
n02957252	卷扬机，绞盘
n02957427	压顶石
n02957755	capsule
n02957862	船长椅
n02958343	机动车，汽车，车
n02959942	有轨车，自动道车
n02960352	电梯车厢
n02960690	岩钉钢环，扣环，登山用铁锁，铁锁
n02960903	饮料瓶
n02961035	商队旅馆，旅店
n02961225	车用蓄电池
n02961451	卡宾枪
n02961544	汽车炸弹
n02961947	炭精电弧
n02962061	小口的大瓶
n02962200	化油器，汽化器
n02962414	汽车运载车
n02962843	名片盒
n02962938	心脏监视器
n02963159	对襟毛衣，开襟毛衣，开襟羊毛衫，羊毛衣，羊毛衫
n02963302	card index, card catalog, card catalogue
n02963503	心动描记器，心动电描记器，心电描记器
n02963692	cardioid microphone
n02963821	车门
n02963987	桥牌室
n02964075	card table
n02964196	card table
n02964295	汽车轮渡
n02964634	载货甲板
n02964843	集装箱
n02964934	货门
n02965024	货舱
n02965122	货运直升机
n02965216	运货班机
n02965300	货船
n02965529	排钟，钟琴
n02965783	汽车镜
n02966068	克罗奇马车
n02966193	旋木，旋转木马
n02966545	羊角锤
n02966687	工具箱
n02966786	木工水平尺
n02966942	木槌
n02967081	木工曲尺
n02967170	矩尺
n02967294	毯制手提包，毯制的旅行袋
n02967407	地毯拍打器
n02967540	地毯织机
n02967626	地毯衬垫
n02967782	地毯清洁机
n02967991	地毯图钉，地毯钉
n02968074	无墙车库，车棚
n02968210	大帆船，宽身帆船
n02968333	小单间，小阅读室
n02968473	四轮马车，马车
n02969010	支架
n02969163	车身螺栓
n02969323	汽车道，车行道，车道
n02969527	套筒板手
n02969634	carrick bend
n02969886	搬运器
n02970408	大手提包
n02970534	手提式婴儿床
n02970685	汽车座椅，车座，车辆座位
n02970849	手拉车，手推车，敞篷两轮车
n02971167	汽车轮胎
n02971356	纸盒
n02971473	卡图什，弹药箱
n02971579	car train
n02971691	子弹，子弹筒，枪弹
n02971940	唱臂
n02972397	子弹带
n02972714	火炮抽筒子
n02972934	熔丝管
n02973017	弹夹
n02973236	车轮
n02973805	切肉餐叉
n02973904	切肉用的餐刀
n02974003	汽车车轮
n02974348	像柱，女像柱
n02974454	级联液化器
n02974565	级联变压器
n02974697	框子
n02975212	玻璃陈列橱，陈列柜，陈列橱
n02975589	case, compositor's case, typesetter's case
n02975994	酪酸涂料
n02976123	带鞘小刀
n02976249	餐刀
n02976350	窗，窗子
n02976455	竖铰链窗
n02976552	兵营
n02976641	霰弹
n02976815	吧台，当场付现金的酒吧
n02976939	钱箱
n02977058	自动取款机，自动存取款机，自动提款机，自动柜员机
n02977330	开司米，开司米织物，羊绒织物，软毛织物
n02977438	收银机，现金出纳机
n02977619	框子，箱，装箱
n02977936	卡西诺，娱乐场，赌场
n02978055	珠宝箱，首饰盒
n02978205	盔
n02978367	casquet, casquetel
n02978478	卡塞格伦望远镜
n02978753	焙盘，砂锅
n02978881	卡匣，磁带盒
n02979074	录音座
n02979186	卡带播放机，卡式唱机
n02979290	卡带录音机，盒式录音机
n02979399	卡式盒形磁带，盒式磁带
n02979516	cassock
n02979836	石膏，石膏绷带
n02980036	小脚轮，调味瓶，轮脚
n02980203	调味瓶
n02980441	城堡
n02980625	象棋中的车，车
n02981024	地下埋葬地，地下墓穴，陵寝
n02981198	灵柩台
n02981321	催化反应室
n02981565	催化裂化器
n02981792	双体船
n02981911	中世的抛石机，投石器，投石机
n02982232	弹射器
n02982416	独桅艇
n02982515	猫箱
n02982599	钩子，门闩
n02983072	杂物包
n02983189	捕手面罩
n02983357	贮水池
n02983507	Caterpillar, cat
n02983904	cathedra, bishop's throne
n02984061	大教堂，重要的大教堂
n02984203	大教堂，总教堂
n02984469	导管
n02984699	阴极
n02985137	阴极射线管
n02985606	九尾鞭
n02985828	绳结
n02985963	番茄酱瓶
n02986066	牛车，运牛车
n02986160	拦牛木栅
n02986348	载运牲畜的船
n02987047	烧灼剂
n02987379	宽边软帽
n02987492	佩剑，马刀
n02987706	cavetto
n02987823	空心墙
n02987950	C电池，栅偏压电池
n02988066	C形夹，C-钳
n02988156	CD驱动器，光盘驱动器
n02988304	光盘播放机，激光唱机
n02988486	可记录光盘
n02988679	只读存储光盘，只读存储器
n02988963	光盘驱动器
n02989099	香柏木箱
n02990373	天棚，天花板
n02990758	钢片琴
n02991048	电池
n02991302	牢房
n02991847	酒窖
n02992032	牢房
n02992211	大提琴
n02992368	玻璃纸
n02992529	大哥大，手提电话，手机，移动电话，蜂窝式移动电话
n02992795	透明胶带
n02993194	衣冠冢
n02993368	香炉
n02993546	中心，中心点
n02994573	center punch
n02994743	摄氏寒暑表
n02995345	中央处理器，主机
n02995871	离心抽机，离心泵
n02995998	离心机
n02997391	陶瓷
n02997607	陶器
n02997910	谷物碗
n02998003	食品盒
n02998107	蜡布
n02998563	污水坑，污水渗井
n02998696	小玩意儿
n02998841	方披巾
n02999138	火锅
n02999410	链，链子，链条
n02999936	束缚力，约束力
n03000134	菱形网
n03000247	锁子甲
n03000530	链式打印机
n03000684	电链锯，电锯，链锯
n03001115	连锁商店，连锁店
n03001282	链条钳
n03001540	chain wrench
n03001627	椅子
n03002096	chair
n03002210	chair of state
n03002341	空中缆椅
n03002555	chaise, shay
n03002711	躺倚
n03002816	chalet
n03002948	圣餐杯
n03003091	粉笔
n03003633	印花薄织物，轻布料的一种
n03004275	便壶
n03004409	钱布雷绸
n03004531	斜角刀
n03004620	倒角刨
n03004713	法兰绒布料
n03004824	教堂高坛
n03005033	大法官官署，大臣官署，大臣官邸，总理公署
n03005147	大法官法庭
n03005285	枝形吊灯
n03005515	杂货商店
n03005619	马盔
n03006626	chanter, melody pipe
n03006788	chantry
n03006903	chap
n03007130	小教堂，礼拜堂
n03007297	联谊会会堂
n03007444	牧师会教堂
n03007591	串行打印机
n03008177	熟食店，猪肉熟食店
n03008817	charge-exchange accelerator
n03008976	蓄电池充电器
n03009111	四轮礼车
n03009269	二轮战车，双轮战车
n03009794	藏骸所
n03010473	底盘
n03010656	底架，底盘
n03010795	十字褡
n03010915	chateau
n03011018	短链，腰链
n03011355	checker, chequer
n03011741	付款处，付账柜台，收银台
n03012013	马勒带
n03012159	cheeseboard, cheese tray
n03012373	一种粗棉布，干酪包布
n03012499	切乳酪器
n03012644	压酪机
n03012734	化学炸弹
n03012897	化学工厂
n03013006	化学反应器
n03013438	宽松女服
n03013580	女式内衣
n03013850	绳绒织物
n03014440	国际象棋棋子，棋子
n03014705	箱，箱子
n03015149	沙发
n03015254	五斗柜，抽屉柜，衣柜
n03015478	护胸
n03015631	铁蒺藜
n03015851	穿衣镜
n03016209	chicane
n03016389	鸡舍
n03016609	chicken wire
n03016737	鸡栏
n03016868	薄纱，薄绸，雪纺绸
n03016953	五斗橱，碗碟柜，衣柜，食橱
n03017070	儿童居室，孩子的房间
n03017168	钟，钟琴
n03017698	壁炉墙
n03017835	炉角
n03018209	瓷器
n03018349	陶瓷器陈列柜
n03018614	栗鼠呢，灰鼠呢
n03018712	灯笼
n03018848	难解之谜
n03019198	引体向上杆
n03019304	丝光黄斜纹布
n03019434	chino
n03019685	腮托
n03019806	下巴带
n03019938	印花棉布
n03020034	微片，微芯片，芯片
n03020416	圆形筹码
n03020692	凿子
n03021228	斗篷的一种，短氅
n03024064	唱诗区
n03024233	唱诗班楼座
n03024333	阻塞门
n03024518	扼流线圈
n03025070	chokey, choky
n03025165	火车机头
n03025250	高底鞋
n03025886	弦乐器
n03026506	圣诞袜
n03026907	录时器，计时码表，记时仪，记时器，记时计
n03027001	时计，精密时计
n03027108	千分秒表，瞬时计
n03027250	卡盘
n03027505	流动炊事车
n03027625	chukka, chukka boot
n03028079	教会，教堂，礼拜堂
n03028596	教堂的钟
n03028785	教会帽子
n03029066	三角启子
n03029197	教会塔
n03029296	churidars
n03029445	搅乳器
n03029925	苹果榨汁机
n03030262	雪茄衬带
n03030353	雪茄盒，香烟盒
n03030557	雪茄剪
n03030880	香烟屁股
n03031012	香烟盒
n03031152	烟斗
n03031422	火星塞
n03031756	束马鞍肚带
n03032252	影剧院，影院，电影院
n03032453	五瓣花饰，梅花形装饰
n03032811	圆，圆圈
n03033267	小圈
n03033362	电路
n03033986	电路板
n03034244	断路器，断路开关
n03034405	电路图
n03034516	凹刨
n03034663	圆形锯，圆锯
n03035252	马戏篷
n03035510	人工水池，水塘，水槽，蓄水池，贮水器
n03035715	水槽，水箱
n03035832	七弦琴，西特琴
n03036022	大会堂，市政厅
n03036149	城市风光画，都市风景
n03036244	城市大学
n03036341	便服
n03036469	便服
n03036701	瓣阀
n03036866	钳子
n03037108	抓斗，挖斗
n03037228	钟锤
n03037404	场记板
n03037590	clarence
n03037709	单簧管，黑管
n03038041	克拉克电池
n03038281	扣子，扣环，扣钩，钩环
n03038480	折刀
n03038685	教室，课堂
n03038870	古钢琴，翼琴
n03039015	键盘弦乐器
n03039259	飞靶
n03039353	克莱莫地雷
n03039493	双刃大砍刀，双刃大阔刀
n03039827	干洗店
n03039947	清洁工具
n03040229	清洁垫
n03040376	绝对无尘室，绝尘室
n03040836	超速道路
n03041114	系索耳，羊角
n03041265	耐磨钉
n03041449	夹板
n03041632	切肉刀，切肉大刀，砍肉刀，菜刀
n03041810	天窗，通风窗，高侧窗，高窗
n03042139	U形钩，马蹄钩
n03042384	缚牢吊床的绳
n03042490	悬崖住所
n03042697	攀缘架
n03042829	敲弯部分
n03042984	敲弯，活结圈套
n03043173	紧钳
n03043274	门诊所
n03043423	体温计
n03043693	硬砖
n03043798	倾斜计，测斜仪
n03043958	夹子，扣钩
n03044671	夹脚
n03044801	clip-on
n03044934	大剪刀
n03045074	轧刀
n03045228	快速帆船
n03045337	披风，斗篷
n03045698	遮盖物
n03045800	衣帽间
n03046029	钟形女帽
n03046133	吊钟形玻璃罩
n03046257	时钟，钟
n03046802	钟摆
n03046921	clock radio
n03047052	钟塔
n03047171	发条装置，钟表机械
n03047690	木屐，木鞋
n03047799	景泰蓝瓷器
n03047941	回廊，隐居地
n03048883	闭合电路
n03049066	闭路电视
n03049326	闭合环路
n03049457	小房间，私室
n03049782	closeup lens
n03049924	平顶帽
n03050026	布质蒙皮
n03050453	衣刷
n03050546	衣柜，衣橱
n03050655	干衣机
n03050864	装衣篮
n03051041	晒衣架
n03051249	晒衣夹，衣夹
n03051396	衣帽架
n03051540	衣服
n03052464	clothing store, haberdashery, haberdashery store, mens store
n03052917	大帽钉
n03053047	丁香结，卷结，酒瓶结
n03053976	休息车厢
n03054491	俱乐部聚会室
n03054605	榴霰弹，集束炸弹
n03054901	离合器
n03055159	离合器踏板
n03055418	手袋
n03055670	四乘驾
n03055857	车房
n03056097	煤车，运煤车
n03056215	装煤槽
n03056288	煤库
n03056493	煤铲，煤锹
n03056583	舱口栏板
n03056873	倒轮式刹车，脚刹车
n03057021	外套，外衣，大衣，短上衣
n03057541	衣扣
n03057636	衣橱
n03057724	外套式排扣装，女外套
n03057841	紧身短上衣
n03057920	挂衣钩，衣架
n03058107	外层，涂层
n03058603	上衣布料，外衣布料，外衣衣料，衣料
n03058949	涂漆层
n03059103	帽架，衣帽架
n03059236	男上衣后摆
n03059366	同轴电缆
n03059685	蜘蛛网
n03059934	cobweb
n03060728	高压倍加器
n03061050	cocked hat
n03061211	木马
n03061345	轻舟
n03061505	座舱，驾驶员座舱，驾驶舱
n03061674	驾驶座
n03061819	斗鸡场或围区
n03061893	小丑的帽子，小丑的鸡冠帽子，鸡冠帽
n03062015	小礼服，短裙
n03062122	鸡尾酒会
n03062245	鸡尾酒调制器
n03062336	cocotte
n03062651	男裤下体盖，男裤前面的褶
n03062798	定天镜，定星镜
n03062985	咖啡罐
n03063073	咖啡杯
n03063199	咖啡滤纸
n03063338	咖啡壶
n03063485	咖啡豆研磨机
n03063599	咖啡杯
n03063689	咖啡壶
n03063834	coffee stall
n03063968	咖啡桌，茶几
n03064250	咖啡壶
n03064350	保险箱
n03064562	科菲蒸馏器
n03064758	棺，棺材
n03064935	链齿
n03065243	修女包头巾
n03065424	螺旋状物
n03065708	线圈
n03066232	coil
n03066359	蜗卷弹簧
n03066464	自动投币电话
n03066849	滤器，漏锅，过滤器
n03067093	cold cathode
n03067212	细柄凿
n03067339	冷霜，润肤香脂，雪花膏
n03067518	植物防寒温室
n03068181	衣领，领，领子
n03068998	collar
n03069752	学院的建筑物，校舍
n03070059	套爪夹盘
n03070193	collider
n03070396	煤矿场
n03070587	准直仪，准直器，平行光管，瞄准仪
n03070854	瞄准仪
n03071021	古龙水，科隆香水，香水
n03071160	列柱，柱廊
n03071288	结肠镜，结肠镜检查
n03071552	色度计
n03072056	彩色的徽章，彩色的绶带
n03072201	彩电，彩色电视
n03072440	彩色显像管
n03072682	刷色，洗色
n03073296	Colt
n03073384	犁刀
n03073545	骨灰安置所
n03073694	骨灰匣壁龛
n03073977	支柱，柱，柱子，梁柱
n03074380	纪念柱
n03074855	头梳，梳子，梳棉机，篦
n03075097	comb
n03075248	comber
n03075370	号码锁，密码锁，暗码锁，转字锁
n03075500	全能刨
n03075634	联合收割机
n03075768	奶嘴，橡皮奶头
n03075946	指挥舱
n03076411	日用物资供销店，杂货商店，补给库
n03076623	内部餐厅
n03076708	商品，货物
n03077442	普通斧头
n03077616	休息室，公共休息室
n03077741	通讯卫星
n03078287	通信系统
n03078506	社区活动中心
n03078670	整流器，电流转换器
n03078802	市郊往返列车
n03078995	粉盒
n03079136	小型汽车
n03079230	CD，光盘，光碟
n03079494	CD刻录机
n03079616	升降扶梯
n03079741	包房，小隔间，隔室，隔间
n03080309	compartment
n03080497	指南针
n03080633	两脚规，圆规
n03080731	罗经刻度盘
n03080904	截圆锯，钢丝锯
n03081859	围地
n03081986	复合透镜
n03082127	复式杠杆
n03082280	复显微镜
n03082450	敷布
n03082656	止血带
n03082807	压气机
n03082979	电子计算机，电脑，计算机
n03084420	计算机电路
n03084834	电脑分层摄影机
n03085013	键盘
n03085219	computer monitor
n03085333	计算机网络
n03085602	电脑显示器
n03085781	电脑专卖店，电脑商店
n03085915	计算机系统
n03086183	集中营
n03086457	演奏钢琴
n03086580	音乐会堂
n03086670	六角形手风琴，六角手风琴
n03086868	concertina
n03087069	混泥土搅拌机
n03087245	冷凝泵
n03087366	聚光器
n03087521	冷凝器
n03087643	凝结器
n03087816	电容麦克风
n03088389	分套购置的公寓
n03088580	condominium, condo
n03088707	导体
n03089477	cone clutch, cone friction clutch
n03089624	甜食店，糖果店
n03089753	会议中心
n03089879	会议室
n03090000	会议桌
n03090172	告解室，忏悔室
n03090437	正形投影
n03090710	议员靴
n03090856	圆锥投影
n03091044	连杆
n03091223	连通房
n03091374	连接物，连结物，连结者
n03091907	了望塔
n03092053	指挥塔
n03092166	温室
n03092314	艺术学校，音乐学校
n03092476	支架
n03092656	操纵台
n03092883	涡卷形托臂桌
n03093427	使馆，领事馆
n03093792	接触
n03094159	隐形眼镜
n03094503	集装箱
n03095699	货柜船，集装箱船
n03095965	防泄漏系统
n03096439	倍低音巴松笛，倍低音管
n03096960	控制器
n03097362	控制中心，调度室
n03097535	控制电路
n03097673	命令键
n03098140	仪表板
n03098515	控制棒，操纵杆
n03098688	控制室
n03098806	控制系统
n03098959	指挥塔台，控制塔
n03099147	对流式加热机，对流式暖房器
n03099274	便利店，便民商店，方便商店，方便小商店
n03099454	修道院，女修道会
n03099622	礼拜堂
n03099771	会聚透镜，凸透镜
n03099945	转换器
n03100240	折篷汽车，敞篷汽车，敞篷车
n03100346	两用沙发
n03100490	传送器
n03100897	传送带，转运带，运送器，运送者
n03101156	厨灶，炊具
n03101302	做饭用的火
n03101375	野外炊事处
n03101517	曲奇成型刀，饼干压模，饼干模型切割刀
n03101664	饼干罐
n03101796	烤盘，焙烤浅盘
n03101986	炊具，烹调用具，烹饪用具
n03102371	厨灶，烹调用炉
n03102516	冷却系统
n03102654	冰库
n03102859	冷却方法
n03103128	cooling system, engine cooling system
n03103396	冷却塔
n03103563	浣熊毛皮帽
n03103904	cope
n03104019	弓锯，手弓锯
n03104512	铜制品，铜制物品，铜器
n03105088	原稿架
n03105214	贝壳碟
n03105306	科拉科尔小艇
n03105467	托架
n03105645	托梁拱圈，突拱
n03105810	鸟步
n03105974	梯级山墙
n03106722	条绒，灯芯绒类布
n03106898	皮线
n03107046	绳索，缆索
n03107488	灯芯绒裤子
n03107716	铁心
n03108455	钻心
n03108624	core drill
n03108759	去心器，挖核器
n03108853	塞，塞子，椊，瓶塞，软木塞
n03109033	塞瓶器
n03109150	开瓶器，瓶塞起子，螺旋拔塞器
n03109253	corncrib
n03109693	外角
n03109881	拐角，旮旯，角落，隅
n03110202	角柱
n03110669	喇叭，小号
n03111041	挑檐，檐尖，飞檐
n03111177	檐
n03111296	檐口
n03111690	惩教所
n03112240	波形钉
n03112719	盔甲
n03112869	紧身内衣，紧身褡
n03113152	化妆品
n03113505	阳子加速装置
n03113657	剧装，戏装，服装
n03113835	costume
n03114041	套装
n03114236	服饰
n03114379	茶壶套
n03114504	折叠床，行军床
n03114743	cottage tent
n03114839	制销，栓，锁销
n03115014	开口销
n03115180	棉，棉布，棉花织物
